attempt_id,test_id,user_id,start_time,end_time,test_type,score,is_free,questions_count,correct_answers_count,total_time_taken,test_completed,upgrade_now_email_status,test_result_email_status
63100,45,377,2/01/2017 3:48,2/01/2017 4:01,2,12,1,25,3,786,1,0,0
63101,45,19721,2/01/2017 3:49,2/01/2017 4:00,2,20,1,25,5,630,1,0,1
63102,36,377,2/01/2017 4:05,2/01/2017 4:22,3,24,1,25,6,997,1,0,0
63103,26,19722,2/01/2017 4:06,2/01/2017 4:23,1,72,1,25,18,1051,1,0,1
63104,26,19723,2/01/2017 4:07,2/01/2017 4:23,1,48,1,25,12,953,1,0,1
63105,26,19724,2/01/2017 4:20,2/01/2017 4:37,1,32,1,25,8,999,1,0,1
63106,36,19725,2/01/2017 4:34,2/01/2017 4:58,3,56,1,25,14,1449,1,0,1
63107,26,19724,2/01/2017 4:46,2/01/2017 5:02,1,36,1,25,9,962,1,0,0
63108,26,19724,2/01/2017 5:10,2/01/2017 5:17,1,44,1,25,11,432,1,0,0
63109,26,19724,2/01/2017 5:20,2/01/2017 5:28,1,52,1,25,13,448,1,0,0
63110,26,19726,2/01/2017 5:38,2/01/2017 5:49,1,52,1,25,13,646,1,0,1
63111,36,19725,2/01/2017 5:31,2/01/2017 5:49,3,16,1,25,4,1110,1,0,0
63112,36,19726,2/01/2017 5:53,2/01/2017 6:18,3,48,1,25,12,1456,1,0,0
63113,26,19724,2/01/2017 6:14,2/01/2017 6:22,1,40,1,25,10,431,1,0,0
63114,26,19724,2/01/2017 6:31,2/01/2017 6:41,1,48,1,25,12,604,1,0,0
63115,45,19727,2/01/2017 6:26,2/01/2017 6:45,2,68,1,25,17,1109,1,0,1
63116,18,19722,2/01/2017 6:39,2/01/2017 6:56,1,64,0,25,16,995,1,0,0
63117,19,19638,2/01/2017 6:37,2/01/2017 6:57,2,52,0,25,13,1198,1,0,0
63118,26,19724,2/01/2017 7:08,2/01/2017 7:19,1,40,1,25,10,649,1,0,0
63119,26,19724,2/01/2017 7:25,2/01/2017 7:32,1,40,1,25,10,442,1,0,0
63120,36,19724,2/01/2017 7:37,2/01/2017 7:46,3,32,1,25,8,520,1,0,0
63121,45,19728,2/01/2017 7:50,2/01/2017 8:08,2,16,1,25,4,1058,1,0,1
63122,28,19638,2/01/2017 8:08,2/01/2017 8:26,2,56,0,25,14,1128,1,0,0
63123,26,19729,2/01/2017 8:22,2/01/2017 8:29,1,44,1,25,11,447,1,0,1
63124,18,12142,2/01/2017 8:56,2/01/2017 9:09,1,100,0,25,25,777,1,0,0
63125,26,19730,2/01/2017 9:18,2/01/2017 9:34,1,80,1,25,20,917,1,0,1
63126,45,19731,2/01/2017 9:19,2/01/2017 9:39,2,80,1,25,20,1198,1,0,1
63127,26,19731,2/01/2017 9:57,2/01/2017 10:11,1,80,1,25,20,817,1,0,0
63128,45,19732,2/01/2017 10:10,2/01/2017 10:30,2,52,1,25,13,1197,1,0,1
63129,18,19638,2/01/2017 11:02,2/01/2017 11:18,1,72,0,25,18,973,1,0,0
63130,26,19733,2/01/2017 11:31,2/01/2017 11:41,1,76,1,25,19,600,1,0,1
63131,26,19734,2/01/2017 11:23,2/01/2017 11:36,1,28,1,25,7,787,1,0,1
63132,40,8504,2/01/2017 11:56,2/01/2017 12:21,3,48,0,25,12,1498,1,0,0
63133,26,19735,2/01/2017 12:04,2/01/2017 12:23,1,64,1,25,16,1122,1,0,1
63134,45,19736,2/01/2017 12:13,2/01/2017 12:27,2,20,1,25,5,845,1,0,1
63135,36,19737,2/01/2017 12:04,2/01/2017 12:29,3,36,1,25,9,1451,1,0,1
63136,45,19643,2/01/2017 12:23,2/01/2017 12:39,2,32,1,25,8,963,1,1,0
63137,36,19736,2/01/2017 12:32,2/01/2017 12:55,3,16,1,25,4,1378,1,0,0
63138,26,19738,2/01/2017 12:48,2/01/2017 12:58,1,56,1,25,14,621,1,0,1
63139,42,8504,2/01/2017 12:36,2/01/2017 12:56,3,40,0,25,10,1190,1,0,0
63140,26,19737,2/01/2017 12:52,2/01/2017 13:09,1,84,1,25,21,1013,1,0,0
63141,36,19739,2/01/2017 13:20,2/01/2017 13:28,3,24,1,25,6,512,1,0,1
63142,36,19713,2/01/2017 13:19,2/01/2017 13:38,3,96,1,25,24,1160,1,1,0
63143,35,4990,2/01/2017 13:32,2/01/2017 13:43,1,56,0,25,14,647,1,0,0
63144,45,19737,2/01/2017 13:40,2/01/2017 13:58,2,40,1,25,10,1107,1,1,0
63145,26,19740,2/01/2017 13:49,2/01/2017 14:08,1,64,1,25,16,1152,1,0,1
63146,29,8504,2/01/2017 14:30,2/01/2017 14:54,3,32,0,25,8,1498,1,0,0
63147,26,19741,2/01/2017 14:55,2/01/2017 15:12,1,64,1,25,16,1034,1,0,1
63148,43,8504,2/01/2017 14:56,2/01/2017 15:20,3,56,0,25,14,1495,1,0,0
63149,45,19737,2/01/2017 15:07,2/01/2017 15:22,2,72,1,25,18,947,1,0,0
63150,45,19742,2/01/2017 15:21,2/01/2017 15:39,2,32,1,25,8,1053,1,0,1
63151,35,4990,2/01/2017 15:54,2/01/2017 15:59,1,88,0,25,22,307,1,0,0
63152,26,19743,2/01/2017 17:14,2/01/2017 17:23,1,72,1,25,18,549,1,0,1
63153,36,19743,2/01/2017 17:38,2/01/2017 18:00,3,68,1,25,17,1344,1,0,0
63154,26,19744,2/01/2017 17:52,2/01/2017 18:05,1,68,1,25,17,781,1,0,1
63155,26,19745,2/01/2017 18:33,2/01/2017 18:50,1,64,1,25,16,1016,1,0,1
63156,28,19520,2/01/2017 18:36,2/01/2017 18:54,2,44,0,25,11,1126,1,0,0
63157,36,19746,2/01/2017 18:31,2/01/2017 18:56,3,12,1,25,3,1473,1,0,1
63158,28,17886,2/01/2017 18:55,2/01/2017 19:12,2,40,0,25,10,1022,1,0,0
63159,21,19638,2/01/2017 19:17,2/01/2017 19:36,1,56,0,25,14,1167,1,0,0
63160,36,19747,2/01/2017 19:35,2/01/2017 19:47,3,20,1,25,5,738,1,0,1
63161,26,19748,2/01/2017 19:24,2/01/2017 19:44,1,48,1,25,12,1176,1,0,1
63162,26,19749,2/01/2017 20:00,2/01/2017 20:15,1,24,1,25,6,915,1,0,1
63163,45,19735,2/01/2017 20:22,2/01/2017 20:22,2,0,1,25,0,7,1,0,1
63164,36,19738,2/01/2017 20:19,2/01/2017 20:44,3,32,1,25,8,1490,1,0,0
63165,25,19638,2/01/2017 20:26,2/01/2017 20:44,1,72,0,25,18,1072,1,0,0
63166,36,19750,2/01/2017 20:34,2/01/2017 20:50,3,40,1,25,10,985,1,0,1
63167,45,19751,2/01/2017 21:09,2/01/2017 21:29,2,28,1,25,7,1176,1,0,1
63168,45,19752,2/01/2017 21:29,2/01/2017 21:33,2,20,1,25,5,251,1,0,1
63169,34,19638,2/01/2017 21:16,2/01/2017 21:34,1,64,0,25,16,1088,1,0,0
63170,36,19753,2/01/2017 21:17,2/01/2017 21:41,3,40,1,25,10,1470,1,0,1
63171,35,19638,2/01/2017 21:53,2/01/2017 22:13,1,64,0,25,16,1198,1,0,0
63172,36,19754,2/01/2017 21:47,2/01/2017 22:12,3,20,1,25,5,1463,1,0,1
63173,26,19755,2/01/2017 22:09,2/01/2017 22:19,1,72,1,25,18,648,1,0,1
63174,45,19744,2/01/2017 22:05,2/01/2017 22:10,2,8,1,25,2,322,1,0,0
63175,36,19737,2/01/2017 22:05,2/01/2017 22:21,3,96,1,25,24,961,1,1,0
63176,36,19735,2/01/2017 22:28,2/01/2017 22:28,3,0,1,25,0,0,1,1,0
63177,45,19751,2/01/2017 21:45,2/01/2017 22:04,2,96,1,25,24,1122,1,0,0
63178,36,19756,2/01/2017 22:52,2/01/2017 23:16,3,40,1,25,10,1402,1,0,1
63179,45,19757,2/01/2017 23:12,2/01/2017 23:32,2,44,1,25,11,1198,1,0,1
63180,45,19758,2/01/2017 23:16,2/01/2017 23:35,2,16,1,25,4,1137,1,0,1
63181,44,19638,2/01/2017 23:20,2/01/2017 23:39,2,20,0,25,5,1118,1,0,0
63182,45,19750,2/01/2017 23:35,2/01/2017 23:42,2,16,1,25,4,429,1,0,0
63183,45,19759,2/01/2017 23:31,2/01/2017 23:51,2,56,1,25,14,1196,1,0,1
63184,36,19746,2/01/2017 23:50,3/01/2017 0:05,3,68,1,25,17,904,1,0,0
63185,26,19760,2/01/2017 23:59,3/01/2017 0:18,1,76,1,25,19,1148,1,0,1
63186,45,377,2/01/2017 23:59,3/01/2017 0:19,2,24,1,25,6,1173,1,0,0
63187,26,19683,3/01/2017 0:08,3/01/2017 0:28,1,44,1,25,11,1188,1,0,0
63188,26,19761,3/01/2017 0:19,3/01/2017 0:38,1,40,1,25,10,1138,1,0,1
63189,26,19762,3/01/2017 0:38,3/01/2017 0:47,1,80,1,25,20,585,1,0,1
63190,36,18515,3/01/2017 0:28,3/01/2017 0:48,3,60,1,25,15,1232,1,1,0
63191,45,19575,3/01/2017 0:33,3/01/2017 0:51,2,52,1,25,13,1051,1,0,0
63192,45,19762,3/01/2017 0:55,3/01/2017 1:15,2,64,1,25,16,1193,1,0,0
63193,26,19763,3/01/2017 1:02,3/01/2017 1:15,1,76,1,25,19,784,1,0,1
63194,18,16006,3/01/2017 1:13,3/01/2017 1:25,1,52,0,25,13,677,1,0,0
63195,45,19575,3/01/2017 1:18,3/01/2017 1:34,2,20,1,25,5,949,1,1,0
63196,21,19722,3/01/2017 1:23,3/01/2017 1:42,1,60,0,25,15,1125,1,0,0
63197,45,19680,3/01/2017 0:44,3/01/2017 1:02,2,20,1,25,5,1107,1,0,0
63198,26,19724,3/01/2017 1:43,3/01/2017 1:47,1,32,1,25,8,265,1,0,0
63199,26,19724,3/01/2017 1:53,3/01/2017 1:57,1,36,1,25,9,219,1,0,0
63200,21,16006,3/01/2017 1:40,3/01/2017 1:59,1,84,0,25,21,1160,1,0,0
63201,36,19762,3/01/2017 1:35,3/01/2017 1:59,3,64,1,25,16,1490,1,1,0
63202,25,19722,3/01/2017 2:26,3/01/2017 2:42,1,84,0,25,21,1002,1,0,0
63203,29,16006,3/01/2017 2:19,3/01/2017 2:42,3,76,0,25,19,1406,1,0,0
63204,26,19764,3/01/2017 2:52,3/01/2017 3:02,1,68,1,25,17,616,1,0,1
63205,26,19765,3/01/2017 2:58,1/01/1970 10:00,1,0,1,25,0,0,1,0,1
63206,26,19765,3/01/2017 3:18,3/01/2017 3:24,1,76,1,25,19,355,1,0,0
63207,45,19764,3/01/2017 3:14,3/01/2017 3:26,2,28,1,25,7,717,1,0,0
63208,36,19033,3/01/2017 3:17,3/01/2017 3:36,3,36,1,25,9,1137,1,0,0
63209,45,19720,3/01/2017 3:25,3/01/2017 3:43,2,72,1,25,18,1056,1,0,0
63210,34,19722,3/01/2017 3:39,3/01/2017 3:50,1,44,0,25,11,689,1,0,0
63211,36,19766,3/01/2017 3:32,3/01/2017 3:56,3,64,1,25,16,1450,1,0,1
63212,34,19722,3/01/2017 3:53,3/01/2017 4:00,1,80,0,25,20,449,1,0,0
63213,26,19767,3/01/2017 3:50,3/01/2017 4:10,1,56,1,25,14,1187,1,0,1
63214,36,19645,3/01/2017 3:47,3/01/2017 4:11,3,20,1,25,5,1455,1,0,1
63215,36,19712,3/01/2017 4:17,3/01/2017 4:18,3,4,1,25,1,55,1,0,0
63216,36,19766,3/01/2017 4:04,3/01/2017 4:20,3,84,1,25,21,978,1,0,0
63217,35,19722,3/01/2017 4:29,3/01/2017 4:44,1,80,0,25,20,942,1,0,0
63218,45,19758,3/01/2017 4:37,3/01/2017 4:51,2,48,1,25,12,858,1,0,0
63219,45,19768,3/01/2017 4:47,3/01/2017 5:07,2,28,1,25,7,1179,1,0,1
63220,18,19735,3/01/2017 4:54,3/01/2017 5:07,1,52,0,25,13,812,1,0,0
63221,28,16006,3/01/2017 4:50,3/01/2017 5:10,2,48,0,25,12,1149,1,0,0
63222,18,19765,3/01/2017 4:56,3/01/2017 5:11,1,56,0,25,14,898,1,0,0
63223,36,19758,3/01/2017 5:02,3/01/2017 5:14,3,56,1,25,14,754,1,1,0
63224,45,19768,3/01/2017 5:10,3/01/2017 5:27,2,28,1,25,7,984,1,0,0
63225,44,16006,3/01/2017 5:13,3/01/2017 5:24,2,40,0,25,10,656,1,0,0
63226,26,19769,3/01/2017 5:18,3/01/2017 5:34,1,60,1,25,15,931,1,0,1
63227,19,19735,3/01/2017 5:18,3/01/2017 5:34,2,32,0,25,8,915,1,0,0
63228,45,16006,3/01/2017 5:38,3/01/2017 5:58,2,76,1,25,19,1195,1,0,0
63229,26,19736,3/01/2017 5:58,3/01/2017 6:14,1,36,1,25,9,969,1,1,0
63230,28,19735,3/01/2017 6:14,3/01/2017 6:18,2,8,0,25,2,283,1,0,0
63231,45,19736,3/01/2017 6:19,3/01/2017 6:39,2,20,1,25,5,1171,1,0,0
63232,20,19205,3/01/2017 6:32,3/01/2017 6:55,3,72,0,25,18,1352,1,0,0
63233,21,19765,3/01/2017 6:43,3/01/2017 7:01,1,56,0,25,14,1091,1,0,0
63234,26,377,3/01/2017 7:13,3/01/2017 7:29,1,40,1,25,10,979,1,0,0
63235,25,19765,3/01/2017 7:21,3/01/2017 7:41,1,36,0,25,9,1161,1,0,0
63236,36,19736,3/01/2017 7:44,3/01/2017 8:05,3,40,1,25,10,1312,1,1,0
63237,45,19770,3/01/2017 8:17,3/01/2017 8:31,2,40,1,25,10,819,1,0,1
63238,36,19771,3/01/2017 8:37,3/01/2017 8:47,3,36,1,25,9,620,1,0,1
63239,49,19735,3/01/2017 9:07,3/01/2017 9:07,2,0,0,25,0,21,1,0,0
63240,26,19772,3/01/2017 9:19,3/01/2017 9:35,1,48,1,25,12,926,1,0,1
63241,45,19447,3/01/2017 9:25,3/01/2017 9:45,2,40,1,25,10,1185,1,0,0
63242,26,19772,3/01/2017 9:39,3/01/2017 9:51,1,60,1,25,15,693,1,0,0
63243,45,19773,3/01/2017 10:06,3/01/2017 10:26,2,76,1,25,19,1199,1,0,1
63244,34,19735,3/01/2017 10:26,3/01/2017 10:38,1,56,0,25,14,731,1,0,0
63245,20,4771,3/01/2017 11:52,3/01/2017 12:16,3,24,0,25,6,1432,1,0,0
63246,45,19774,3/01/2017 12:04,3/01/2017 12:21,2,60,1,25,15,1054,1,0,1
63247,18,19227,3/01/2017 14:53,3/01/2017 15:03,1,68,0,25,17,639,1,0,0
63248,26,19775,3/01/2017 15:12,3/01/2017 15:23,1,64,1,25,16,673,1,0,1
63249,26,19776,3/01/2017 16:20,3/01/2017 16:25,1,8,1,25,2,287,1,0,1
63250,26,19776,3/01/2017 16:36,3/01/2017 16:39,1,28,1,25,7,188,1,0,0
63251,36,19777,3/01/2017 16:42,3/01/2017 16:46,3,36,1,25,9,215,1,0,1
63252,36,19643,3/01/2017 16:34,3/01/2017 16:56,3,36,1,25,9,1316,1,0,0
63253,36,19265,3/01/2017 17:21,3/01/2017 17:28,3,36,1,25,9,385,1,0,0
63254,36,19778,3/01/2017 17:41,3/01/2017 18:05,3,36,1,25,9,1385,1,0,1
63255,45,19779,3/01/2017 18:20,3/01/2017 18:40,2,88,1,25,22,1199,1,0,1
63256,45,19780,3/01/2017 18:29,3/01/2017 18:45,2,68,1,25,17,971,1,0,1
63257,45,19778,3/01/2017 19:28,3/01/2017 19:35,2,40,1,25,10,432,1,0,0
63258,49,16006,3/01/2017 19:29,3/01/2017 19:49,2,52,0,25,13,1178,1,0,0
63259,26,19781,3/01/2017 19:47,3/01/2017 19:58,1,76,1,25,19,658,1,0,1
63260,26,19782,3/01/2017 19:49,3/01/2017 20:07,1,68,1,25,17,1072,1,0,1
63261,45,19783,3/01/2017 20:24,3/01/2017 20:44,2,64,1,25,16,1186,1,0,1
63262,26,19784,3/01/2017 20:31,3/01/2017 20:50,1,60,1,25,15,1123,1,0,1
63263,45,19784,3/01/2017 20:59,3/01/2017 21:18,2,60,1,25,15,1149,1,0,0
63264,26,19767,3/01/2017 21:13,3/01/2017 21:19,1,56,1,25,14,371,1,0,0
63265,26,19778,3/01/2017 21:06,3/01/2017 21:23,1,40,1,25,10,1016,1,1,0
63266,45,19785,3/01/2017 21:09,3/01/2017 21:24,2,16,1,25,4,879,1,0,1
63267,19,19392,3/01/2017 21:25,3/01/2017 21:43,2,44,0,25,11,1105,1,0,0
63268,36,19784,3/01/2017 21:22,3/01/2017 21:46,3,60,1,25,15,1459,1,1,0
63269,36,19786,3/01/2017 21:24,3/01/2017 21:48,3,36,1,25,9,1407,1,0,1
63270,36,19786,3/01/2017 21:52,1/01/1970 10:00,3,0,1,25,0,0,1,0,0
63271,45,19785,3/01/2017 21:34,3/01/2017 21:36,2,8,1,25,2,140,1,0,0
63272,28,19392,3/01/2017 21:47,3/01/2017 22:03,2,36,0,25,9,956,1,0,0
63273,45,19787,3/01/2017 21:54,3/01/2017 22:13,2,52,1,25,13,1184,1,0,1
63274,45,15582,3/01/2017 21:55,3/01/2017 22:14,2,80,1,25,20,1113,1,0,1
63275,26,19757,3/01/2017 22:01,3/01/2017 22:20,1,72,1,25,18,1141,1,0,0
63276,45,19788,3/01/2017 22:26,3/01/2017 22:45,2,88,1,25,22,1137,1,0,1
63277,26,19789,3/01/2017 22:54,3/01/2017 23:09,1,60,1,25,15,922,1,0,0
63278,45,19790,3/01/2017 23:10,3/01/2017 23:25,2,16,1,25,4,903,1,0,1
63279,26,18515,3/01/2017 23:27,3/01/2017 23:35,1,84,1,25,21,469,1,0,0
63280,26,19791,3/01/2017 23:29,3/01/2017 23:48,1,60,1,25,15,1151,1,0,1
63281,26,19724,4/01/2017 0:13,4/01/2017 0:25,1,48,1,25,12,693,1,0,0
63282,36,377,3/01/2017 23:56,4/01/2017 0:21,3,44,1,25,11,1482,1,0,0
63283,45,19766,4/01/2017 1:18,4/01/2017 1:35,2,60,1,25,15,1032,1,1,0
63284,26,19792,4/01/2017 1:36,4/01/2017 1:50,1,60,1,25,15,791,1,0,1
63285,36,19792,4/01/2017 1:57,4/01/2017 2:20,3,44,1,25,11,1362,1,0,0
63286,36,19793,4/01/2017 2:12,4/01/2017 2:37,3,60,1,25,15,1461,1,0,1
63287,45,19638,4/01/2017 2:25,4/01/2017 2:45,2,40,1,25,10,1186,1,0,0
63288,45,19792,4/01/2017 2:24,4/01/2017 2:43,2,44,1,25,11,1173,1,1,0
63289,45,19794,4/01/2017 2:29,4/01/2017 2:44,2,20,1,25,5,895,1,0,1
63290,44,19392,4/01/2017 2:34,4/01/2017 2:52,2,24,0,25,6,1096,1,0,0
63291,36,19795,4/01/2017 2:30,4/01/2017 2:54,3,24,1,25,6,1464,1,0,1
63292,45,19796,4/01/2017 2:42,4/01/2017 3:02,2,16,1,25,4,1199,1,0,1
63293,36,19793,4/01/2017 2:59,4/01/2017 3:18,3,72,1,25,18,1116,1,0,0
63294,26,19724,4/01/2017 3:25,4/01/2017 3:30,1,56,1,25,14,283,1,0,0
63295,26,19797,4/01/2017 3:33,4/01/2017 3:42,1,40,1,25,10,585,1,0,1
63296,45,19798,4/01/2017 3:24,4/01/2017 3:42,2,52,1,25,13,1118,1,0,1
63297,36,19616,4/01/2017 3:27,4/01/2017 3:51,3,76,1,25,19,1417,1,1,0
63298,26,19799,4/01/2017 3:50,4/01/2017 3:53,1,52,1,25,13,182,1,0,1
63299,21,19722,4/01/2017 3:45,4/01/2017 3:55,1,72,0,25,18,581,1,0,0
63300,45,19793,4/01/2017 3:30,4/01/2017 3:50,2,76,1,25,19,1186,1,1,0
63301,45,19800,4/01/2017 3:38,4/01/2017 3:58,2,64,1,25,16,1198,1,0,1
63302,26,19801,4/01/2017 3:52,4/01/2017 4:04,1,68,1,25,17,730,1,0,1
63303,36,19802,4/01/2017 3:45,4/01/2017 4:08,3,64,1,25,16,1393,1,0,1
63304,44,19735,4/01/2017 3:57,4/01/2017 4:00,2,8,0,25,2,220,1,0,0
63305,36,19803,4/01/2017 3:55,4/01/2017 4:20,3,48,1,25,12,1497,1,0,1
63306,18,19722,4/01/2017 4:16,4/01/2017 4:25,1,84,0,25,21,543,1,0,0
63307,26,19804,4/01/2017 4:21,4/01/2017 4:36,1,64,1,25,16,888,1,0,1
63308,56,19735,4/01/2017 4:31,4/01/2017 4:31,2,0,0,25,0,0,1,0,0
63309,45,19805,4/01/2017 4:46,4/01/2017 5:05,2,40,1,25,10,1179,1,0,1
63310,45,19806,4/01/2017 4:54,4/01/2017 5:13,2,40,1,25,10,1135,1,0,1
63311,26,19807,4/01/2017 5:05,4/01/2017 5:15,1,32,1,25,8,554,1,0,1
63312,26,19808,4/01/2017 5:15,4/01/2017 5:18,1,40,1,25,10,141,1,0,1
63313,45,19809,4/01/2017 4:58,4/01/2017 5:10,2,28,1,25,7,729,1,0,1
63314,26,19805,4/01/2017 5:15,4/01/2017 5:28,1,84,1,25,21,791,1,0,0
63315,36,19810,4/01/2017 5:04,4/01/2017 5:28,3,44,1,25,11,1482,1,0,1
63316,45,19780,4/01/2017 5:23,4/01/2017 5:40,2,96,1,25,24,969,1,0,0
63317,36,377,4/01/2017 5:27,4/01/2017 5:51,3,28,1,25,7,1427,1,0,0
63318,36,19811,4/01/2017 5:41,4/01/2017 6:02,3,48,1,25,12,1236,1,0,1
63319,26,19812,4/01/2017 5:58,4/01/2017 6:12,1,60,1,25,15,884,1,0,1
63320,26,19724,4/01/2017 6:14,4/01/2017 6:22,1,52,1,25,13,491,1,0,0
